Student ID,Gender,Age Group,Living Situation,Parent Education Level,Family Financial Status,Class,Department,Performance in English,Performance in Maths,Performance in Biology,Performance in Physics,Performance in Chemistry,Performance in Lit in English,Performance in Government,Performance in CRS,Performance in Commerce,Performance in Accounting,Performance in Economics,Study Hours per Week,Extra Tutoring,School Attendance,Extracurricular Participation,Considered Dropping Out,Reason To Dropout,Experienced Bullying,Type of Bullying,Comfort in School Environment,Trusted Teacher,Peer Pressure,Parents Help with Homework,Parents Attend Parent-Teacher Meeting,Parents Encourage Higher Education,Stress About Schoolwork,Confidence in Academic Ability,Access to Counseling,Home Learning Resources,School Learning Resources,Motivation for Attending School,Plan to Attend University,JAMB Goal Score,Extracurricular Hours,Free Time Activities,Language at Home,Involved in Work Outside School,Last Exam Performance,Foundational Knowledge
1001,Female,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS2,Humanities,Excellent,Good,Excellent,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Not at all,Never,Nil,Frequently,Verbal,Somewhat Comfortable,Yes,Frequently,Never,Never,Yes,Always,Somewhat confident,I'm not sure,Internet,Library,To learn and gain knowledge,Yes,200 To 250,Less than 5 hours,Doing chores at home,Yoruba,Frequently,60% - 69%,Average
1002,Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Good,Good,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Occasionally,Every day,Regularly,Never,Nil,Occasionally,"Verbal,Physical,Social",Somewhat Comfortable,Yes,Occasionally,Sometimes,Regularly,Yes,Sometimes,Not confident,I'm not sure,"Textbooks,Internet,Private study space",Library,To prepare for a good career,Yes,300 And Above,5 - 10 hours,Others,Yoruba,Occasionally,70% - 100%,Strong
1003,Male,15 - 16,Both parents,Post-graduate education,We meet our needs but can't afford luxuries,SS3,Science,Fair,Fair,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Most days,Regularly,Sometimes,Lack of intrest in studies,Never,Nil,Somewhat Comfortable,Yes,Occasionally,Rarely,Sometimes,Yes,Sometimes,Somewhat confident,Yes,Internet,Nil,To prepare for a good career,Not Sure,200 To 250,More than 10 hours,Playing sports,English,No,60% - 69%,Average
1004,Male,12 - 14,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Excellent,Good,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,No,Every day,Regularly,Never,Nil,Never,Nil,Somewhat Comfortable,Yes,Occasionally,Rarely,Sometimes,Yes,Sometimes,Very confident,Yes,"Textbooks,Internet,Private study space","Computer lab, Extra tutoring sessions",To learn and gain knowledge,Yes,300 And Above,Less than 5 hours,"Studying,Socializing with friends,Watching movies,Playing sports,Doing chores at home",English,No,70% - 100%,Average
1005,Male,15 - 16,Single parent,Higher Education,We are financially comfortable,SS3,Science,Good,Fair,Good,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Occasionally,Never,Nil,Never,Nil,Comfortable,No,Never,Sometimes,Sometimes,Yes,Sometimes,Somewhat confident,No,"Textbooks,Internet,Private study space,Laptop","Computer lab, Extra tutoring sessions",To prepare for a good career,Yes,200 To 250,Less than 5 hours,"Watching movies,Playing sports,Doing chores at home",English,No,60% - 69%,Strong
1006,Male,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Commercial,Good,Fair,Nil,Nil,Nil,Nil,Nil,Nil,Fair,Fair,Excellent,More than 10 hours,No,Every day,Regularly,Often,Poor academics performance,Frequently,"Verbal,Physical,Cyberbullying,Social",Uncomfortable,Yes,Frequently,Rarely,Regularly,Yes,Rarely,Not confident,Yes,"Textbooks,Interet","Library,Computer lab, Extra tutoring sessions",To prepare for a good career,Not Sure,200 To 250,Less than 5 hours,Others,English,No,Below 40%,Weak
1007,Female,12 - 14,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Good,Good,Excellent,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Regularly,Every day,Regularly,Never,Nil,Never,Nil,Comfortable,No,Never,Rarely,Sometimes,Yes,Sometimes,Somewhat confident,I'm not sure,"Textbooks,Internet,Laptop",Extra tutoring sessions,To prepare for a good career,Yes,200 To 250,Less than 5 hours,Watching movies,English,No,60% - 69%,Average
1008,Female,12 - 14,Both parents,Post-graduate education,We can afford some luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Good,Good,Good,Nil,Nil,Nil,More than 10 hours,Occasionally,Every day,Regularly,Never,Nil,Occasionally,Others,Somewhat Comfortable,No,Never,Always,Regularly,Yes,Sometimes,Somewhat confident,Yes,"Textbooks,Internet",Extra tutoring sessions,To learn and gain knowledge,Yes,250 To 300,5 - 10 hours,"Studying,Socializing with friends,Watching movies,Doing chores at home",Yoruba,Occasionally,60% - 69%,Average
1009,Female,15 - 16,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Good,Excellent,Good,Fair,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Regularly,Sometimes,Others,Never,Nil,Somewhat Comfortable,No,Never,Never,Never,Yes,Always,Somewhat confident,No,"Textbooks,Internet,Laptop,Private study space","Library,Computer lab",To learn and gain knowledge,Yes,250 To 300,5 - 10 hours,"Studying,Socializing with friends,Watching movies,Doing chores at home",English,No,70% - 100%,Average
1010,Female,15 - 16,Both parents,Primary school,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Excellent,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Regularly,Never,Nil,Never,Nil,Comfortable,No,Never,Sometimes,Sometimes,Yes,Sometimes,Very confident,I'm not sure,Internet,Computer lab,To prepare for a good career,Yes,300 And Above,Less than 5 hours,Playing sports,Yoruba,No,70% - 100%,Strong
1011,Female,15 - 16,Both parents,Secondary school,We struggle to meet basic needs,SS3,Humanities,Excellent,Good,Nil,Nil,Nil,Good,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Not at all,Never,Nil,Occasionally,Physical,Somewhat Comfortable,No,Never,Sometimes,Sometimes,Yes,Sometimes,Very confident,I'm not sure,Internet,Library,To prepare for a good career,Yes,300 And Above,Less than 5 hours,Playing sports,English,No,60% - 69%,Strong
1012,Male,15 - 16,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Fair,Good,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,More than 10 hours,No,Every day,Regularly,Never,Nil,Occasionally,Physical,Uncomfortable,No,Occasionally,Always,Sometimes,Yes,Always,Not confident,I'm not sure,"Textbooks,Internet,Laptop","Computer lab, Extra tutoring sessions",To prepare for a good career,No,300 And Above,Less than 5 hours,Watching movies,English,No,60% - 69%,Strong
1013,Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Humanities,Good,Good,Nil,Nil,Nil,Excellent,Excellent,Excellent,Nil,Nil,Nil,Less than 5 hours,No,Every day,Occasionally,Never,Nil,Never,Nil,Somewhat Comfortable,Yes,Never,Sometimes,Sometimes,Yes,Sometimes,Very confident,Yes,"Textbooks,Internet,Private study space",Computer lab,To learn and gain knowledge,Yes,250 To 300,Less than 5 hours,Watching movies,Yoruba,No,60% - 69%,Average
1014,Male,15 - 16,Both parents,Secondary school,We meet our needs but can't afford luxuries,SS3,Humanities,Excellent,Excellent,Nil,Nil,Nil,Good,Good,Good,Nil,Nil,Nil,More than 10 hours,No,Every day,Not at all,Never,Nil,Occasionally,Verbal,Comfortable,Yes,Never,Rarely,Regularly,Yes,Sometimes,Very confident,Yes,Textbooks,Computer lab,To learn and gain knowledge,Yes,300 And Above,Less than 5 hours,Studying,English,No,60% - 69%,Average
1015,Male,12 - 14,Both parents,Post-graduate education,We can afford some luxuries,SS3,Science,Excellent,Good,Good,Good,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,No,Every day,Regularly,Never,Nil,Never,Nil,Somewhat Comfortable,No,Never,Rarely,Sometimes,Yes,Always,Somewhat confident,Yes,"Textbooks,Internet,Laptop,Private study space",Computer lab,To prepare for a good career,Yes,250 To 300,Less than 5 hours,"Socializing with friends,Watching movies,Playing sports,Doing chores at home",English,No,70% - 100%,Strong
1016,Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Humanities,Good,Fair,Nil,Nil,Nil,Fair,Excellent,Excellent,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Regularly,Never,Nil,Never,Nil,Comfortable,No,Occasionally,Sometimes,Sometimes,Yes,Sometimes,Somewhat confident,No,"Textbooks,Internet,Laptop,Private study space",Computer lab,To learn and gain knowledge,Yes,300 And Above,5 - 10 hours,Studying,English,No,70% - 100%,Strong
1017,Male,17 - 18,Both parents,Post-graduate education,We are financially comfortable,SS3,Science,Good,Excellent,Good,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,5 - 10 hours,Regularly,Every day,Regularly,Never,Nil,Never,Nil,Comfortable,No,Never,Always,Regularly,Yes,Sometimes,Very confident,Yes,"Textbooks,Internet,Laptop,Private study space","Library,Computer lab,Internet,Extra tutoring sessions",To learn and gain knowledge,Yes,300 And Above,Less than 5 hours,"Studying,Socializing with friends",English,Occasionally,70% - 100%,Strong
1018,Female,15 - 16,Both parents,Higher Education,We can afford some luxuries,SS3,Science,Good,Excellent,Good,Excellent,Good,Nil,Nil,Nil,Nil,Nil,Nil,Less than 5 hours,Occasionally,Every day,Occasionally,Never,Nil,Never,Nil,Somewhat Comfortable,No,Never,Rarely,Regularly,Yes,Rarely,Somewhat confident,I'm not sure,"Textbooks,Internet,Private study space",Computer lab,To learn and gain knowledge,Yes,250 To 300,Less than 5 hours,Doing chores at home,Yoruba,Occasionally,60% - 69%,Average
1019,Female,15 - 16,Both parents,Higher Education,We are financially comfortable,SS3,Commercial,Good,Excellent,Nil,Nil,Nil,Nil,Nil,Nil,Excellent,Excellent,Good,Less than 5 hours,No,Every day,Occasionally,Never,Nil,Never,Nil,Somewhat Comfortable,No,Never,Sometimes,Sometimes,Yes,Sometimes,Somewhat confident,Yes,"Textbooks,Internet,Laptop","Library,Computer lab, Extra tutoring Sessions",To prepare for a good career,Yes,250 To 300,Less than 5 hours,Others,English,Occasionally,70% - 100%,Strong
